date,ticker,market,open,high,low,close,adj_close,volume,year,month,month_name,year_month
2016-06-28,GF=F,Feeder Cattle Futures,140.35000610351562,141.375,140.0749969482422,140.6750030517578,140.6750030517578,2100,2016,6,June,2016-06
2016-06-29,GF=F,Feeder Cattle Futures,141.4250030517578,144.35000610351562,141.0,143.0500030517578,143.0500030517578,5599,2016,6,June,2016-06
2016-06-30,GF=F,Feeder Cattle Futures,143.3000030517578,145.10000610351562,143.3000030517578,144.3000030517578,144.3000030517578,5338,2016,6,June,2016-06
2016-07-01,GF=F,Feeder Cattle Futures,143.6999969482422,145.0500030517578,141.875,142.4499969482422,142.4499969482422,4469,2016,7,July,2016-07
2016-07-05,GF=F,Feeder Cattle Futures,142.5749969482422,144.47500610351562,139.75,144.0749969482422,144.0749969482422,5154,2016,7,July,2016-07
2016-07-06,GF=F,Feeder Cattle Futures,144.4499969482422,146.10000610351562,143.0500030517578,144.5749969482422,144.5749969482422,4981,2016,7,July,2016-07
2016-07-07,GF=F,Feeder Cattle Futures,143.9250030517578,145.10000610351562,142.3249969482422,143.625,143.625,3776,2016,7,July,2016-07
2016-07-08,GF=F,Feeder Cattle Futures,143.0749969482422,144.5,142.0500030517578,143.4499969482422,143.4499969482422,4589,2016,7,July,2016-07
2016-07-11,GF=F,Feeder Cattle Futures,142.8249969482422,143.27499389648438,138.9499969482422,139.4499969482422,139.4499969482422,5913,2016,7,July,2016-07
2016-07-12,GF=F,Feeder Cattle Futures,139.0749969482422,140.39999389648438,136.875,138.60000610351562,138.60000610351562,6482,2016,7,July,2016-07
2016-07-13,GF=F,Feeder Cattle Futures,137.89999389648438,139.47500610351562,137.10000610351562,139.27499389648438,139.27499389648438,5238,2016,7,July,2016-07
2016-07-14,GF=F,Feeder Cattle Futures,139.10000610351562,142.5500030517578,139.10000610351562,141.6999969482422,141.6999969482422,5774,2016,7,July,2016-07
2016-07-15,GF=F,Feeder Cattle Futures,142.10000610351562,142.75,139.25,139.5749969482422,139.5749969482422,3746,2016,7,July,2016-07
2016-07-18,GF=F,Feeder Cattle Futures,138.85000610351562,141.4499969482422,137.8249969482422,141.1750030517578,141.1750030517578,3383,2016,7,July,2016-07
2016-07-19,GF=F,Feeder Cattle Futures,141.5500030517578,143.22500610351562,139.52499389648438,139.89999389648438,139.89999389648438,3859,2016,7,July,2016-07
2016-07-20,GF=F,Feeder Cattle Futures,138.89999389648438,140.89999389648438,137.89999389648438,138.625,138.625,3843,2016,7,July,2016-07
2016-07-21,GF=F,Feeder Cattle Futures,138.85000610351562,139.0749969482422,134.125,134.39999389648438,134.39999389648438,5639,2016,7,July,2016-07
2016-07-22,GF=F,Feeder Cattle Futures,134.39999389648438,137.77499389648438,134.39999389648438,137.1999969482422,137.1999969482422,4501,2016,7,July,2016-07
2016-07-25,GF=F,Feeder Cattle Futures,138.85000610351562,141.6999969482422,138.5749969482422,141.6999969482422,141.6999969482422,3903,2016,7,July,2016-07
2016-07-26,GF=F,Feeder Cattle Futures,142.4499969482422,143.5749969482422,141.10000610351562,142.4499969482422,142.4499969482422,4098,2016,7,July,2016-07
2016-07-27,GF=F,Feeder Cattle Futures,141.64999389648438,142.85000610351562,141.25,142.27499389648438,142.27499389648438,2599,2016,7,July,2016-07
2016-07-28,GF=F,Feeder Cattle Futures,141.97500610351562,144.1999969482422,139.89999389648438,140.47500610351562,140.47500610351562,3625,2016,7,July,2016-07
2016-07-29,GF=F,Feeder Cattle Futures,140.375,142.10000610351562,139.1999969482422,140.0500030517578,140.0500030517578,2589,2016,7,July,2016-07
2016-08-01,GF=F,Feeder Cattle Futures,140.97500610351562,144.5500030517578,140.97500610351562,144.5500030517578,144.5500030517578,3363,2016,8,August,2016-08
2016-08-02,GF=F,Feeder Cattle Futures,145.10000610351562,146.875,144.375,145.47500610351562,145.47500610351562,3485,2016,8,August,2016-08
2016-08-03,GF=F,Feeder Cattle Futures,145.4499969482422,147.89999389648438,145.02499389648438,147.47500610351562,147.47500610351562,2474,2016,8,August,2016-08
2016-08-04,GF=F,Feeder Cattle Futures,147.39999389648438,149.85000610351562,146.85000610351562,147.5749969482422,147.5749969482422,3387,2016,8,August,2016-08
2016-08-05,GF=F,Feeder Cattle Futures,148.5,149.9499969482422,147.52499389648438,149.64999389648438,149.64999389648438,3652,2016,8,August,2016-08
2016-08-08,GF=F,Feeder Cattle Futures,149.89999389648438,150.85000610351562,148.60000610351562,149.125,149.125,2570,2016,8,August,2016-08
2016-08-09,GF=F,Feeder Cattle Futures,149.0500030517578,151.10000610351562,148.375,150.1750030517578,150.1750030517578,2103,2016,8,August,2016-08
2016-08-10,GF=F,Feeder Cattle Futures,150.5,151.1999969482422,149.14999389648438,149.72500610351562,149.72500610351562,1105,2016,8,August,2016-08
2016-08-11,GF=F,Feeder Cattle Futures,149.47500610351562,150.14999389648438,146.5500030517578,148.72500610351562,148.72500610351562,1746,2016,8,August,2016-08
2016-08-12,GF=F,Feeder Cattle Futures,148.60000610351562,149.60000610351562,147.27499389648438,149.0749969482422,149.0749969482422,811,2016,8,August,2016-08
2016-08-15,GF=F,Feeder Cattle Futures,149.1999969482422,150.0,148.4499969482422,148.64999389648438,148.64999389648438,862,2016,8,August,2016-08
2016-08-16,GF=F,Feeder Cattle Futures,148.4250030517578,148.6750030517578,146.8249969482422,147.125,147.125,1837,2016,8,August,2016-08
2016-08-17,GF=F,Feeder Cattle Futures,146.85000610351562,147.625,146.27499389648438,146.72500610351562,146.72500610351562,1074,2016,8,August,2016-08
2016-08-18,GF=F,Feeder Cattle Futures,146.8249969482422,147.0,144.89999389648438,145.02499389648438,145.02499389648438,1377,2016,8,August,2016-08
2016-08-19,GF=F,Feeder Cattle Futures,145.125,146.3000030517578,144.39999389648438,146.0749969482422,146.0749969482422,1480,2016,8,August,2016-08
2016-08-22,GF=F,Feeder Cattle Futures,146.35000610351562,147.60000610351562,145.97500610351562,147.02499389648438,147.02499389648438,1860,2016,8,August,2016-08
2016-08-23,GF=F,Feeder Cattle Futures,146.8000030517578,147.0500030517578,146.14999389648438,146.4499969482422,146.4499969482422,1013,2016,8,August,2016-08
2016-08-24,GF=F,Feeder Cattle Futures,146.64999389648438,147.0,146.25,146.64999389648438,146.64999389648438,854,2016,8,August,2016-08
2016-08-25,GF=F,Feeder Cattle Futures,146.625,146.9499969482422,146.5749969482422,146.72500610351562,146.72500610351562,3187,2016,8,August,2016-08
2016-08-26,GF=F,Feeder Cattle Futures,141.5,142.60000610351562,139.27499389648438,139.9250030517578,139.9250030517578,2884,2016,8,August,2016-08
2016-08-29,GF=F,Feeder Cattle Futures,139.4499969482422,139.85000610351562,138.27499389648438,139.14999389648438,139.14999389648438,3317,2016,8,August,2016-08
2016-08-30,GF=F,Feeder Cattle Futures,139.3249969482422,143.375,137.0,142.52499389648438,142.52499389648438,4429,2016,8,August,2016-08
